state,state_abbreviation,consent_authorization_policy,organization_launch_date,type_of_consent_policy,details_of_consent_policy,patient_notification_methods,additional_information,websites_and_publicly_available_resources,scope_of_consent_policy,source_of_consent_policy,source_of_consent_policy_url,state_involvement_in_creating_consent_policy_if_source_is_not_a_statute_regulation,statewide_applicability_y_n,applies_minimum_necessary_standard_to_treatment_disclosures,requires_authorization_for_one_or_more_tpo_disclosures_that_would_be_permitted_under_hipaa_without_authorization,citation_of_statute_or_regulation,citation_of_statute_or_regulation_url,narrative_description_of_state_law,definition_or_scope_of_information_material_covered_by_policy
Hawaii,HI,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
Idaho,ID,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
Illinois,IL,state HIE consent policies,,Opt-Out,"740 Ill. Comp. Stat. 110/9.6 - Illinois law requires that all HIEs require that participating healthcare providers give patients whose mental health information is on the HIE the opportunity to prohibit further disclosure of the record by the HIE to third parties, except in cases where such disclosure is permitted by law such as for purposes of public health reporting.",,"The statute defines HIE as a &quot;health information exchange or health information organization that oversees and governs the electronic exchange of health information that (i) is established pursuant to the Illinois Health Information Exchange and Technology Act; or (ii) has established a data sharing arrangement with the Illinois Health Information Exchange; or (iii) was designated by the Illinois Health Information Exchange Authority Board as a member of, or was represented on, the Authority Board&apos;s Regional Health Information Exchange Workgroup; provided that such designation shall not require the establishment of a data sharing arrangement or other participation with the Illinois Health Information Exchange or the payment of any fee.&quot;",,This rule is binding upon all HIEs as defined in the statute.,Statute,http://www.ilga.gov/LEGISLATION/ILCS/ilcs3.asp?ActID=2043,,N,,,,,,
Indiana,IN,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
Iowa,IA,state HIE consent policies,,Opt-Out,Iowa Code &sect; 135.156E (2016) - Iowa law gives patients the ability to opt out of the exchange of PHI through IHIN&apos;s record locator service.  This opt-out decision is global and none of the patient&apos;s PHI will be accessible through the record locator service unless otherwise authorized by the law.  A patient who has opted out has the ability to opt back into IHIN.,,,,"The Iowa Department of Health is responsible for making sure that all patients participating in IHIN have the opportunity to opt out, and these requirements are not intended for other regional, population-specific or local health information networks.",Statute,http://www.legis.iowa.gov/docs/code/135.156E.pdf,,N,,,,,,
Kansas,KS,state HIE consent policies,,Opt-Out,Kan. Stat. Ann. &sect; 65-6832 - Kansas law requires the Kansas Department of Health to establish certain requirements for approved HIOs to use in their participation agreements with health care providers. These requirements include details about the written notice that a health care provider has to give to a patient explaining how and what PHI will be shared with the approved HIO. The law requires that the written notice specifically state that the patient has the right to request in writing that his/her PHI not be disclosed by the HIO and the HIO must comply with the request in all cases except in cases when disclosure is permitted for emergencies or as required by law.,,,,The Department of Health establishes opt-out requirements that all approved HIOs in participation agreements with covered entities have to follow.  HIOs must approved to operate in the state of Kansas.,Statute,http://www.ksrevisor.org/statutes/chapters/ch65/065_068_0032.html,,Y,,,,,,
Kentucky,KY,state HIE consent policies,,No further consent,"Governor&apos;s Office of Electronic Health Information, First Update: Kentucky Strategic and Operational Plan for Health Information Exchange 24 (2014) - GOEHI states that because health care providers are allowed to share PHI without patient consent for the purpose of treatment under HIPAA, no further consent is required for exchange of PHI through KHIE. GOEHI further states that it requires no prior consent is required for disclosures for the purposes of payment and health care operations.",,,,Applies to all participants in KHIE.,State HIE Plan,http://khie.ky.gov/inc/Documents/SOP%20Plan%20Update%20Draft%20June%2014%20FINAL%20Edition.pdf#page=26,KY Strategic and Operational Plan for KHIE by the Governor&apos;s Office of Electronic Health Information (GOEHI). KHIE is administered by the Division of Kentucky Electronic Health Information in the Cabinet for Health and Family Services.,N,,,,,,
Louisiana,LA,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
Maine,ME,state HIE consent policies,,Opt-Out,"Me. Rev. Stat. Ann. tit. 22, &sect; 1711- C(18)(C) - Maine law requires that the state-designated statewide HIE provide patients the ability to opt out from participation in the HIE and to prohibit the state-designated statewide HIE from disclosing the patient&apos;s PHI to a health care provider.",,,,Applies to the state-designated statewide HIE.,Statute,http://www.mainelegislature.org/legis/statutes/22/title22sec1711-C.html,,N,,,,,,
Maryland,MD,state HIE consent policies,,Opt-Out,"Md. Code Regs. 10.25.18.03 - Maryland regulations give patients participating in an HIE a number of rights including the right to opt out of the HIE at any time and to refuse access to the patient&apos;s PHI through an HIE, except in certain specific circumstances.",,,,"Applies to all HIEs, not just the state designated exchange. MD statute defines HIE as &quot;an infrastructure that provides organizational and technical capabilities for the exchange of protected health information electronically among entities not under common ownership.&quot;",Regulation,http://www.dsd.state.md.us/comar/comarhtml/10/10.25.18.03.htm,,Y,,,,,,
Massachusetts,MA,state HIE consent policies,,Opt-In,"Mass. Gen. Laws ch. 118I &sect;&sect; 11, 13 - Massachusetts law requires that any plan that has received funds from the eHealth Institute Fund or the Massachusetts Health Information Exchange Fund is required to establish a mechanism allowing patients to opt-in to the HIE and to subsequently opt- out at any time.",,,,Applies to any plan that receives funding from the Massachusetts eHealth Institute or the MA HIE Fund.,Statute,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXVII/Chapter118I/Section11,,N,,,,,,
Michigan,MI,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
Minnesota,MN,state HIE consent policies,,Opt-Out,Minn. Stat. &sect; 144.293(8)(d) (2015) - Minnesota law requires that health care providers or entities operating a record locator service or a patient information service must give patients the opportunity to exclude their identifying information and information about the location of their records from such a record locator or patient information service. Providers participating in a HIE with a record locator or patient information service who receive a patient&apos;s opt-out request to exclude all of his/her information from the service or to have a specific provider excluded from the service are responsible for removing that information from the service.,,,,All providers and entities in MN operating a record locator of patient information service have to give patients the ability to opt out.  Burden is on providers to get patients&apos; info removed from HIE service.,Statute,https://revisor.mn.gov/statutes/?id-144.293,,Y,,,,,,
Mississippi,MS,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
Missouri,MO,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
Montana,MT,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
Nebraska,NE,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
Nevada,NV,state HIE consent policies,,Opt-In,Nev. Rev. Stat. &sect; 439.589 - Nevada law requires that the director of the Department of Health and Human Services put forward regulations establishing standards for obtaining consent from a patient before retrieving the patient&apos;s health records from an HIE.  The law further requires that these standards include requirements for how a patient may revoke his/her consent for a health care provider to retrieve his/her health records from the HIE.,,,,"In Nevada, HIEs can&apos;t operate without state certification.  To receive certification, HIEs have to demonstrate their adherence to patient consent standards described in the language of consent policy.  Therefore, this statute requiring consent applies to all HIEs operating in Nevada.",Statute,https://www.leg.state.nv.us/urs/NRS-439.html#NRS439Sec589,,Y,,,,,,
New Hampshire,NH,state HIE consent policies,,Opt-Out,N.H. Rev. Stat. Ann. &sect; 332-I:3 - New Hampshire law gives patients the right to opt out of sharing his/her name and address and his/her PHI through NH-HIO. The law requires that the patient be given this opportunity to opt out in a clear and conspicuous manner.,,,,Applies to state-created NH- HIO only.,Statute,http://www.gencourt.state.nh.us/rsa/html/xxx/332-i/332-i-mrg.htm,,N,,,,,,
New Jersey,NJ,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
New Mexico,NM,state HIE consent policies,,Opt-Out,N.M. Stat. &sect; 24-14B-6 (2009) - New Mexico law requires that record locator services provide patients the option of excluding their demographic information and information about the location of their electronic medical records from the record locator service. The person at a record locator service or HIE who receives a patient&apos;s request to exclude all of his/her information from the record locator service is responsible for removing that information from the service. The law allows for access to a patient&apos;s medical record in case of a medical emergency even if the patient has opted out.,,,,Applies to all record locator services or HIEs.,Statute,http://public.nmcompcomm.us/nmnxtadmin/NMPublic.aspx,,Y,,,,,,
New York,NY,state HIE consent policies,,Opt-In,"N.Y. Comp. Codes R. &amp; Regs. tit.10, &sect; 300.5(a) (2016) - New York requires that qualified entities only allow access to patient information by participating healthcare providers with a written authorization from the patient or someone qualified to consent on behalf of the patient if the patient lacks capacity.  The written authorization must specify who is authorized to access the information. The regulation states that qualified entities may allow access to patient information without written authorization when: (1)Prior consent has already been obtained for the disclosure and no provision of law requires any additional written authorization; (2)Disclosure is required or authorized by law; or (3) The patient is in need of emergency medical care as long as the health care provider documents the situation and states that attempting to secure consent would result in delay of treatment resulting in increased medical risk to the patient.",,,,Applies only to qualified entities certified by the state of New York to participate in the Statewide Health Information Network for New York (SHIN- NY).,Regulation,http://w3.health.state.ny.us/dbspace/NYCRR10.nsf/11fb5c7998a73bcc852565a1004e9f87/0e7e8eade1f0fbdb85257f7000615371?OpenDocument,,N,,,,,,
North Carolina,NC,state HIE consent policies,,Opt-Out,"N.C. Gen. Stat. &sect; 90-414.10 - North Carolina law gives each patient the right to opt out of having their PHI shared through the NC HIE and to revoke his/her decision to opt out.  However, PHI must be disclosed in order to provide emergency medical services even when a patient has opted out , as long as certain criteria are met.",,,,Gives all individuals with PHI in the NC HIE the right to opt out.,Statute,http://www.ncga.state.nc.us/enactedlegislation/statutes/pdf/bysection/chapter_90/gs_90-414.10.pdf,,N,,,,,,
North Dakota,ND,state HIE consent policies,,Opt-Out,"N.D. Cent. Code &sect; 23-12-19 - North Dakota law gives patients the right to opt out of participating in the state-run HIO by providing notice to the HIO. Further, the law gives patients the option of either fully opting out or conditionally opting out (which means that the patient&apos;s PHI will only be accessible to a health care provider in cases of medical emergency).  Patient&apos;s decision to opt out can be revoked at any time and opting out does not prohibit disclosures required by law.",,,,Gives all individuals the right to opt out of participating in the state HIO.,Statute,http://www.legis.nd.gov/cencode/t23c12.pdf#nameddest=23-12-19,,N,,,,,,
Ohio,OH,state HIE consent policies,,Opt-Out,"Ohio Rev. Code &sect; 3798.06 - Ohio law allows disclosure of PHI to approved HIEs by a participating health care provider as long as the provider gives the individual/personal representative of the individual written notice informing the patient, among other things, that s/he has the ability to submit a written request to place restrictions on disclosures of PHI to the approved HIO. Ohio Rev. Code &sect; 3798-07 - Ohio law requires that providers restrict disclosures as per the patient&apos;s request. Ohio Rev. Code &sect; 3798.16(B) - Ohio law further requires that a provider&apos;s notice of privacy practices inform patients that their PHI will be disclosed to authorized HIE and that they have the right to request that the covered entity not disclose any PHI (this must always be honored by the covered entity) or specific categories of PHI to the HIE (this must be honored by covered entity if consistent with future regulations adopted by state).",,,,Applies to all disclosures of PHI to approved HIEs by participating healthcare providers.,Statute,http://codes.ohio.gov/orc/3798,,Y,,,,,,
Oklahoma,OK,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
Oregon,OR,state HIE consent policies,,No policy,,,"Oregon state government seems to be working on developing a consent policy, according to the materials  here.",http://www.oregon.gov/oha/OHPR/HITOC/Pages/Meeting_Materials.aspx,,,,,,,,,,,
Pennsylvania,PA,state HIE consent policies,,Opt-Out,62 Pa. Cons. Stat. &sect; 1403&ndash;C - Pennsylvania law requires that the PA Department of Human Services develop and maintain an opt-out registry and procedures to re-enroll into the HIE. The law states that only the patient has the right to decide to opt out of the HIE.,,,,Applies to patients with PHI in the state HIE.,Passed bill about to be incorporated into the statutory code,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCHeck.cfm?txtType=PDF&sessInd=0&billBody=H&billTyp=B&billNbr=1062&pn=3638#page=16,,N,,,,,,
Rhode Island,RI,state HIE consent policies,,Opt-In,"5 R.I. Gen. Laws &sect; 37.7-4 - Rhode Island law gives patients and healthcare providers the choice of participating in the HIE, but providers are required to continue maintaining their own medical record. The law allows disclosure of PHI in cases where the patient has opted out when such disclosure is otherwise allowed by law.",,,,Applies to patients with PHI in the state-established HIE.,Statute,http://webserver.rilin.state.ri.us/Statutes/TITLE5/5-37.7/5-37.7-4.HTM,,N,,,,,,
South Carolina,SC,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
South Dakota,SD,state HIE consent policies,,Opt-Out,"South Dakota Health Link, Policy and System Operation Manual 7 (2015) - South Dakota Health Link&apos;s policy states that all patients of a participating health care provider will be automatically enrolled in South Dakota Health Link, with no need for further consent from the patient. The policy states that a patient&apos;s consent will be assumed unless the patient affirmatively opts out of participating in South Dakota Health Link.",,,,Applies to all patients whose providers participate in SD Health Link.,State Policy,http://www.sdhealthlink.org/files/HealthLinkPolicy.pdf#page=7,South Dakota Health Link is the HIE provided by the South Dakota Department of Health and guided by an active advisory council.,N,,,,,,
Tennessee,TN,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
Texas,TX,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
Utah,UT,state HIE consent policies,,Opt-Out,"H.B. 46, 2012 Gen. Sess. (Utah 2012) - Utah passed a law that automatically enrolls Medicaid, CHIP, and public employees in the HIE unless they opt out. The bill amends a number of sections of Utah&apos;s code to include this automatic enrollment provision.",,,,"Gives all recipients of Medicaid, CHIP, and state public employee benefits automatically enrolled in the state HIE the right to opt out.",Bill amending a number of statutes in Utah Code,http://le.utah.gov/~2012/bills/hbillenr/hb0046.pdf,,N,,,,,,
Vermont,VT,state HIE consent policies,,Opt-In,"State of Vermont Green Mountain Care Board, Decision Approving Proposed Revised Policy on Patient Consent for Provider Access to Protected Health Information on the Vermont Health Information Exchange (VHIE) or through the Vermont Blueprint for Health (2014). Vermont&apos;s Green Mountain Care Board adopted a proposed policy giving participating healthcare providers access to PHI on VHIE and Vermont State Blueprint for Health for those individuals who have a current written consent on record. The policy requires participating health care providers who collect such written consents to maintain a record of such a consent and to inform the exchanges that the patient has consented to participating in the exchanges.  The policy allows participating healthcare providers access to the PHI of an individual through the exchanges without the consent in cases of medical emergency when the provider cannot obtain the individual&apos;s consent due to the emergency medical condition. The policy allows individuals who have provided consent the option of revoking the consent.",,The draft proposal can be found here.; The state agency adoption of the draft proposal can be found here.,http://hcr.vermont.gov/sites/hcr/files/pdfs/Draft-Consent-Policy-020614.pdf; http://hcr.vermont.gov/sites/hcr/files/pdfs/Draft-Consent-Policy-020614.pdf,Applies to providers participating in VHIE and Vermont State Blueprint for Health HIEs.,State agency decision adopting the policy,http://hcr.vermont.gov/sites/hcr/files/pdfs/Draft-Consent-Policy-020614.pdf,State agency decision adopting the policy,N,,,,,,
Virginia,VA,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
Washington,WA,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
West Virginia,WV,state HIE consent policies,,Opt-Out,"W. Va. Code R. &sect; 65-28-5 (2014) - West Virginia regulations require WV HIN to give patients the opportunity to make an informed choice about whether his/her PHI may be disclosed and used in WV HIN, allowing any patient to opt out of participation.  The regulation considers any patient who has not opted out an automatic participant in WV HIN when his/her health care provider enrolls in WV HIN or when a data supplier discloses his/her PHI through WV HIN.  The regulation further states that when a patient has opted out WV HIN will not disclose PHI in any case except for public health reporting purposes as required by law.",,,,Applies to all patients whose providers participate in WV HIN.,Regulation,https://apps.sos.wv.gov/adlaw/csr/readfile.aspx?DocId=25709&Format=PDF#page=9,,N,,,,,,
Wisconsin,WI,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
Wyoming,WY,state HIE consent policies,,No policy,,,,,,,,,,,,,,,
