"company_name","cat_id","cat_name","entity","records","state","org_id","date","source","type"
"The Oregon Clinic, P.C. (Š—_’Ü’_The Oregon ClinicŠ—_’Ü’_)",28,"Discharge Data","MED",64487,"Oregon",200003056,2018-05-08,"US Department of Health and Human Services","HACK"
"Cerebral Palsy Research Foundation of Kansas, Inc.",28,"Discharge Data","MED",8300,"Kansas",200003057,2018-05-08,"US Department of Health and Human Services","DISC"
"baystate family dental inc",28,"Discharge Data","MED",500,"Massachusetts",200003059,2018-05-04,"US Department of Health and Human Services","PHYS"
"PAR Electrical Contractors, Inc.",15,"Employer","BSO",25000,"Missouri",200002990,2018-05-04,"Security Breach Letter","PHYS"
"Florida Hospital ",28,"Discharge Data","MED",12724,"Florida",200003060,2018-05-03,"US Department of Health and Human Services","HACK"
"American Esoteric Laboratories",18,"Physician, Hospital","MED",0,"Alabama",200002987,2018-05-01,"Media","HACK"
"Worldwide Insurance Services, LLC",28,"Discharge Data","MED",1692,"Pennsylvania",200002997,2018-04-30,"US Department of Health and Human Services","HACK"
"Complete Family Medicine, LLC",28,"Discharge Data","MED",1331,"Nebraska",200003061,2018-04-30,"US Department of Health and Human Services","PHYS"
"Medical Center Ophthalmology Associates",37,"Financial","MED",3017,"Texas",200003062,2018-04-30,"US Department of Health and Human Services","DISC"
"Inogen, Inc.",17,"Payer (Insurer)","MED",30000,"California",200002983,2018-04-30,"Government Agency","HACK"
"Eye Care Surgery Center, Inc. ",46,"Dental and Vision","MED",2553,"Louisiana",200003066,2018-04-27,"US Department of Health and Human Services","PHYS"
"Billings Clinic",28,"Discharge Data","MED",949,"Montana",200002998,2018-04-27,"US Department of Health and Human Services","HACK"
"Walgreen Co.",28,"Discharge Data","MED",703,"Illinois",200003063,2018-04-27,"US Department of Health and Human Services","PHYS"
"Knoxville Heart Group, Inc.",28,"Discharge Data","MED",15995,"Tennessee",200003064,2018-04-27,"US Department of Health and Human Services","HACK"
"MedWatch LLC",28,"Discharge Data","MED",40621,"Florida",200003065,2018-04-27,"US Department of Health and Human Services","DISC"
"Tiger Vision, LLC",28,"Discharge Data","MED",2553,"Louisiana",200003067,2018-04-27,"US Department of Health and Human Services","PHYS"
"Carolina Digestive Health Associates, PA",28,"Discharge Data","MED",10988,"North Carolina",200003068,2018-04-26,"US Department of Health and Human Services","DISC"
"CareFirst BlueCross BlueShield",28,"Discharge Data","MED",6200,"Maryland",200003069,2018-04-26,"US Department of Health and Human Services","DISC"
"Scenic Bluffs Health Center Inc",28,"Discharge Data","MED",2889,"Wisconsin",200003071,2018-04-24,"US Department of Health and Human Services","HACK"
"Capital Digestive Care, Inc.",28,"Discharge Data","MED",17639,"Maryland",200002999,2018-04-23,"US Department of Health and Human Services","DISC"
"AccessLex Institute d/b/a Access Group",49,"Debt Collection","BSF",0,"California",200003034,2018-04-20,"Security Breach Letter","DISC"
"Riverside Medical Center",28,"Discharge Data","MED",501,"Illinois",200003000,2018-04-20,"US Department of Health and Human Services","PHYS"
"Capital District PhysiciansŠ—_’Ü’‚ Health Plan",28,"Discharge Data","MED",839,"New York",200003001,2018-04-20,"US Department of Health and Human Services","DISC"
"Michael Gruber DMD PA",28,"Discharge Data","MED",4624,"New Jersey",200003002,2018-04-20,"US Department of Health and Human Services","HACK"
"Orbitz",15,"Employer","BSO",0,"",200003032,2018-04-20,"Security Breach Letter","HACK"
"UnityPoint Health",6,"Life Insurance Company","MED",16000,"Iowa",200002982,2018-04-20,"Media","HACK"
"SunTrust Banks, Inc.",17,"Payer (Insurer)","BSF",1500000,"Georgia",200002981,2018-04-20,"Media","HACK"
"W. W. Grainger, Inc.",17,"Payer (Insurer)","BSO",0,"California",200003033,2018-04-20,"Security Breach Letter","HACK"
"Blue Shield of California",17,"Payer (Insurer)","MED",0,"California",200002984,2018-04-19,"Security Breach Letter","DISC"
"Localblox",49,"Debt Collection","BSO",4.7e+07,"Washington",200002980,2018-04-18,"Media","DISC"
"Center for Orthopaedic Specialists - Providence Medical Institute (PMI)",29,"Researcher","MED",81550,"California",200003003,2018-04-18,"US Department of Health and Human Services","HACK"
"Inogen, Inc.",28,"Discharge Data","MED",29528,"California",200003005,2018-04-17,"US Department of Health and Human Services","HACK"
"MAXIMUS, Inc. / Business Ink, Co.",28,"Discharge Data","MED",3029,"Virginia",200003006,2018-04-17,"US Department of Health and Human Services","DISC"
"Taskrabbit",17,"Payer (Insurer)","BSR",0,"",200002979,2018-04-17,"Media","HACK"
"Kansas Department for Aging and Disability Services",23,"Public Health","MED",11000,"Kansas",200003004,2018-04-17,"US Department of Health and Human Services","DISC"
"Iowa Health System d/b/a UnityPoint Health",28,"Discharge Data","MED",16429,"Iowa",200003007,2018-04-16,"US Department of Health and Human Services","HACK"
"Cornerstone Foot & Ankle",28,"Discharge Data","MED",533,"New Jersey",200003009,2018-04-16,"US Department of Health and Human Services","DISC"
"Athens Heart Center, P.C.",29,"Researcher","MED",12158,"Georgia",200003008,2018-04-16,"US Department of Health and Human Services","HACK"
"ATI Holdings, LLC and its subsidiaries",28,"Discharge Data","MED",1776,"Illinois",200003012,2018-04-13,"US Department of Health and Human Services","HACK"
"MorshedEye, PLLC",28,"Discharge Data","MED",1100,"Kentucky",200003013,2018-04-13,"US Department of Health and Human Services","DISC"
"California Physicians Service d/b/a Blue Shield of California",17,"Payer (Insurer)","MED",1717,"California",200003011,2018-04-13,"US Department of Health and Human Services","DISC"
"Pierre Fabre",18,"Physician, Hospital","MED",0,"California",200003035,2018-04-13,"Security Breach Letter","HACK"
"Texas Health Physicians Group",23,"Public Health","MED",3808,"Texas",200003010,2018-04-13,"US Department of Health and Human Services","HACK"
"Walker Advertising, LLC ",15,"Employer","BSO",0,"California",200003037,2018-04-12,"Security Breach Letter","HACK"
"Mise En Place Restaurant Services, Inc. ",17,"Payer (Insurer)","BSR",0,"California",200003036,2018-04-12,"Security Breach Letter","HACK"
"Polk County Health Services, Inc",23,"Public Health","MED",1071,"Iowa",200003014,2018-04-12,"US Department of Health and Human Services","DISC"
"Atchison Hospital Association",28,"Discharge Data","MED",667,"Kansas",200003072,2018-04-11,"US Department of Health and Human Services","HACK"
"City of Thousand Oaks",35,"Other Government","GOV",0,"California",200003040,2018-04-11,"Security Breach Letter","HACK"
"ViaTech Publishing Solutions, Inc.",28,"Discharge Data","MED",2431,"Minnesota",200003074,2018-04-10,"US Department of Health and Human Services","DISC"
"Integrated Rehab Consultants",28,"Discharge Data","MED",4292,"Illinois",200003015,2018-04-09,"US Department of Health and Human Services","DISC"
"Walgreen Co.",28,"Discharge Data","MED",910,"Illinois",200003017,2018-04-06,"US Department of Health and Human Services","PHYS"
"Chesapeake Regional Medical Center",28,"Discharge Data","MED",2100,"Virginia",200003018,2018-04-06,"US Department of Health and Human Services","PHYS"
"Delta Air Lines, Inc.",17,"Payer (Insurer)","BSR",2e+05,"California",200002966,2018-04-06,"Media","HACK"
"Sears",17,"Payer (Insurer)","BSR",90000,"Illinois",200002967,2018-04-06,"Media","HACK"
"[24]7.ai.",17,"Payer (Insurer)","BSR",150000,"California",200002968,2018-04-06,"Media","HACK"
"Best Buy",17,"Payer (Insurer)","BSR",1,"",200002969,2018-04-06,"Media","HACK"
"CA Department of Developmental Services",23,"Public Health","MED",582174,"California",200003016,2018-04-06,"US Department of Health and Human Services","DISC"
"Diagnostic Radiology & Imaging, LLC",28,"Discharge Data","MED",800,"North Carolina",200003019,2018-04-05,"US Department of Health and Human Services","HACK"
"Panera Bread",17,"Payer (Insurer)","BSR",3.7e+07,"",200002965,2018-04-03,"Media","DISC"
"Wisconsin Department of Health Services",23,"Public Health","MED",779,"Wisconsin",200003020,2018-04-03,"US Department of Health and Human Services","PHYS"
"Fondren Orthopedic Group L.L.P.",28,"Discharge Data","MED",11552,"Texas",200002970,2018-04-02,"US Department of Health and Human Services","DISC"
"West Kendall Baptist Hospital",28,"Discharge Data","MED",1480,"Florida",200002971,2018-04-02,"US Department of Health and Human Services","DISC"
"QUALITY-CARE PHARMACY",28,"Discharge Data","MED",2000,"California",200003021,2018-04-02,"US Department of Health and Human Services","PHYS"
"Lord & Taylor's, Saks",17,"Payer (Insurer)","BSR",5e+06,"New Jersey",200002964,2018-04-01,"Media","HACK"
"Milligan Chiropractic Group, Inc. d/b/a Del Mar Chiropractic Sports Group",28,"Discharge Data","MED",2640,"California",200002972,2018-03-30,"US Department of Health and Human Services","PHYS"
"Sonoma County Indian Health Project, Inc",28,"Discharge Data","MED",662,"California",200003022,2018-03-30,"US Department of Health and Human Services","DISC"
"Guardian Pharmacy of Jacksonville",28,"Discharge Data","MED",11521,"Florida",200003023,2018-03-30,"US Department of Health and Human Services","HACK"
"ChildrenŠ—_’Ü’‚s National Medical Center ",28,"Discharge Data","MED",722,"District Of Columbia",200003024,2018-03-30,"US Department of Health and Human Services","PHYS"
"Under Armour",17,"Payer (Insurer)","BSR",1.5e+08,"California",200002963,2018-03-30,"Media","HACK"
"Bezop",18,"Physician, Hospital","BSF",25000,"California",200002986,2018-03-30,"Media","DISC"
"Santa Cruz Biotechnology, Inc. ",18,"Physician, Hospital","MED",0,"California",200003041,2018-03-30,"Security Breach Letter","PHYS"
"NYC Health + Hospitals/Harlem",28,"Discharge Data","MED",595,"New York",200002974,2018-03-29,"US Department of Health and Human Services","PHYS"
"Middletown Medical P.C.",29,"Researcher","MED",63551,"New York",200002973,2018-03-29,"US Department of Health and Human Services","DISC"
"Cambridge Health Alliance",28,"Discharge Data","MED",2280,"Massachusetts",200002975,2018-03-28,"US Department of Health and Human Services","HACK"
"Walmart Inc.",28,"Discharge Data","MED",741,"Arkansas",200002976,2018-03-26,"US Department of Health and Human Services","DISC"
"VA Palo Alto Health Care System",28,"Discharge Data","MED",1600,"California",200002978,2018-03-26,"US Department of Health and Human Services","DISC"
"Mississippi State Department of Health",23,"Public Health","MED",30799,"Mississippi",200002977,2018-03-26,"US Department of Health and Human Services","DISC"
"City of Houston Medical Plan",28,"Discharge Data","MED",34637,"Texas",200003025,2018-03-22,"US Department of Health and Human Services","PHYS"
"National Mentor Healthcare, LLC.",28,"Discharge Data","MED",1015,"Massachusetts",200003026,2018-03-21,"US Department of Health and Human Services","PHYS"
"Mentor ABI, LLC",28,"Discharge Data","MED",994,"Massachusetts",200003027,2018-03-21,"US Department of Health and Human Services","PHYS"
"Center for Comprehensive Services, Inc.",28,"Discharge Data","MED",1176,"Massachusetts",200003028,2018-03-21,"US Department of Health and Human Services","PHYS"
"CareMeridian, LLC",28,"Discharge Data","MED",1922,"Massachusetts",200003029,2018-03-21,"US Department of Health and Human Services","PHYS"
"Prestera Center for Mental Health Services, Inc.",28,"Discharge Data","MED",670,"West Virginia",200003030,2018-03-20,"US Department of Health and Human Services","HACK"
"Orbitz",17,"Payer (Insurer)","BSR",880000,"Illinois",200002937,2018-03-20,"Media","HACK"
"Primary Health Care, Inc.",28,"Discharge Data","MED",10313,"Iowa",200002938,2018-03-16,"US Department of Health and Human Services","DISC"
"UnitedHealth Group Single Affiliated Covered Entity ",28,"Discharge Data","MED",1755,"Minnesota",200002940,2018-03-15,"US Department of Health and Human Services","DISC"
"BJC Healthcare",18,"Physician, Hospital","MED",33000,"Missouri",200002936,2018-03-15,"Media","DISC"
"North Texas Medical Center ",23,"Public Health","MED",3350,"Texas",200002939,2018-03-15,"US Department of Health and Human Services","DISC"
"Saint Francis Hospital",28,"Discharge Data","MED",1412,"Georgia",200002941,2018-03-14,"US Department of Health and Human Services","PHYS"
"Serene Sedation, LLC",28,"Discharge Data","MED",5207,"Maryland",200002942,2018-03-14,"US Department of Health and Human Services","HACK"
"Special Agents Mutual Benefit Association",28,"Discharge Data","MED",13942,"Maryland",200002943,2018-03-13,"US Department of Health and Human Services","DISC"
"ATI Holdings, LLC and its subsidiaries ",28,"Discharge Data","MED",35136,"Illinois",200002944,2018-03-12,"US Department of Health and Human Services","HACK"
"Barnes-Jewish St. Peters Hospital",28,"Discharge Data","MED",15046,"Missouri",200002945,2018-03-12,"US Department of Health and Human Services","DISC"
"Barnes-Jewish Hospital",28,"Discharge Data","MED",18436,"Missouri",200002946,2018-03-12,"US Department of Health and Human Services","DISC"
"The Arc of Erie County",28,"Discharge Data","MED",3751,"New York",200002947,2018-03-09,"US Department of Health and Human Services","DISC"
"inSite Digestive Health Care",28,"Discharge Data","MED",1424,"California",200002948,2018-03-09,"US Department of Health and Human Services","PHYS"
"Kansas Department for Aging and Disability Services (KDADS)",23,"Public Health","GOV",11000,"Kansas",200002935,2018-03-08,"Government Agency","HACK"
"Front Range Dermatology Associates, P.C.",28,"Discharge Data","MED",1070,"Colorado",200002949,2018-03-07,"US Department of Health and Human Services","DISC"
"John J. Pershing VA Medical Center",28,"Discharge Data","MED",1843,"Missouri",200002950,2018-03-07,"US Department of Health and Human Services","DISC"
"Fresno State",15,"Employer","EDU",15000,"California",200002934,2018-03-06,"Media","PHYS"
"Novozymes US, Inc.",17,"Payer (Insurer)","BSR",158,"California",200002887,2018-03-02,"Security Breach Letter","HACK"
"Trimont Real Estate Advisors",18,"Physician, Hospital","BSF",6,"Georgia",200002879,2018-03-02,"Security Breach Letter","HACK"
"Florida Agency Persons for Disabilities",28,"Discharge Data","MED",63627,"Florida",200003031,2018-03-01,"US Department of Health and Human Services","DISC"
"Memorial Hospital at Gulfport",28,"Discharge Data","MED",1512,"Mississippi",200002951,2018-02-28,"US Department of Health and Human Services","DISC"
"Union Lake Supermarket, LLC",28,"Discharge Data","MED",9956,"New Jersey",200002953,2018-02-28,"US Department of Health and Human Services","PHYS"
"St. Peter's Ambulatory Surgery Center LLC - d/b/a St. Peter's Surgery & Endoscopy Center",18,"Physician, Hospital","MED",134512,"New York",200002952,2018-02-28,"US Department of Health and Human Services","HACK"
"FastHealth Corporation",28,"Discharge Data","MED",1345,"Alabama",200002954,2018-02-27,"US Department of Health and Human Services","HACK"
"University of Virginia Health System",18,"Physician, Hospital","MED",1882,"Virginia",200002876,2018-02-27,"Media","HACK"
"Rhode Island Executive Office of Health and Human Services ",23,"Public Health","MED",5600,"Rhode Island",200002955,2018-02-27,"US Department of Health and Human Services","DISC"
"Rhode Island Executive Office of Health and Human Services",23,"Public Health","MED",1100,"Rhode Island",200002956,2018-02-27,"US Department of Health and Human Services","DISC"
"California College of Arts",28,"Discharge Data","MED",623,"California",200002957,2018-02-26,"US Department of Health and Human Services","PHYS"
"Quad/Med, LLC",28,"Discharge Data","MED",2834,"Wisconsin",200002958,2018-02-26,"US Department of Health and Human Services","DISC"
"Center for Sports Medicine and Orthopedics ",28,"Discharge Data","MED",800,"Tennessee",200002959,2018-02-26,"US Department of Health and Human Services","DISC"
"Southern National Bancorp of Virginia, Inc. d/b/a/ Sonabank",6,"Life Insurance Company","BSF",24999,"Virginia",200002875,2018-02-26,"Security Breach Letter","HACK"
"Massachusetts Department of Revenue",51,"Social Services","GOV",39000,"Massachusetts",200002871,2018-02-26,"Media","UNKN"
"Walmart, Inc.",28,"Discharge Data","MED",735,"Arkansas",200002960,2018-02-22,"US Department of Health and Human Services","DISC"
"University of Alaska",29,"Researcher","EDU",50,"",200002872,2018-02-22,"Media","HACK"
"Missouri Dept. of Mental Health",28,"Discharge Data","MED",1000,"Missouri",200002873,2018-02-21,"US Department of Health and Human Services","DISC"
"ConnectiCare",28,"Discharge Data","MED",1834,"Connecticut",200002961,2018-02-21,"US Department of Health and Human Services","DISC"
"University of Virginia Medical Center",29,"Researcher","MED",1882,"Virginia",200002931,2018-02-21,"US Department of Health and Human Services","HACK"
"OneMain Financial",49,"Debt Collection","BSF",1,"Maryland",200002878,2018-02-20,"Security Breach Letter","PHYS"
"Riverside Logistics Services",15,"Employer","BSR",142,"Virginia",200002877,2018-02-20,"Security Breach Letter","DISC"
"Cascade Health Services, LLC",6,"Life Insurance Company","MED",700,"Washington",200002880,2018-02-19,"Security Breach Letter","INSD"
"American Neighborhood Mortgage Acceptance Company LLC d/b/a AnnieMac Home Mortgage",6,"Life Insurance Company","BSF",109,"New Jersey",200002881,2018-02-19,"Security Breach Letter","HACK"
"FedEx",17,"Payer (Insurer)","BSR",119000,"Tennessee",200002870,2018-02-19,"Media","DISC"
"Jemison Internal Medicine, PC",28,"Discharge Data","MED",6550,"Alabama",200002932,2018-02-16,"US Department of Health and Human Services","HACK"
"Tufts Associated Health Maintenance Organization, Inc.",28,"Discharge Data","MED",70320,"Massachusetts",200002933,2018-02-16,"US Department of Health and Human Services","DISC"
"Flexible Benefit Service Corporation",28,"Discharge Data","MED",5123,"Illinois",200002962,2018-02-16,"US Department of Health and Human Services","HACK"
"Marriott International Inc.",15,"Employer","BSR",27,"Maryland",200002885,2018-02-16,"Security Breach Letter","HACK"
"Navistar, Inc.",17,"Payer (Insurer)","BSR",253,"Illinois",200002884,2018-02-16,"Security Breach Letter","DISC"
"Country Mutual Insurance Company",17,"Payer (Insurer)","BSF",1418,"Illinois",200002886,2018-02-16,"Security Breach Letter","PHYS"
"Jemison Internal Medicine, PC",18,"Physician, Hospital","MED",6550,"Alabama",200002883,2018-02-16,"Security Breach Letter","HACK"
"Wesley Enhanced Living",57,"Social Support","MED",300,"Pennsylvania",200002882,2018-02-16,"Security Breach Letter","DISC"
"Dollar General Corporation",15,"Employer","BSR",43,"Tennessee",200002891,2018-02-15,"Security Breach Letter","DISC"
"Balasa Dinverno Foltz LLC",6,"Life Insurance Company","BSF",76,"Illinois",200002888,2018-02-15,"Security Breach Letter","HACK"
"Balasa Dinverno Foltz LLC",6,"Life Insurance Company","BSF",76,"Illinois",200002889,2018-02-15,"Security Breach Letter","HACK"
"The Saint Louis Trust Company",6,"Life Insurance Company","BSF",90,"Missouri",200002890,2018-02-15,"Security Breach Letter","HACK"
"Massachusetts Mutual Life Insurance Company",6,"Life Insurance Company","BSF",27,"Massachusetts",200002895,2018-02-15,"Security Breach Letter","HACK"
"Hobe & Lucas Certified Public Accountants, Inc.",17,"Payer (Insurer)","BSR",91,"Ohio",200002894,2018-02-15,"Security Breach Letter","HACK"
"LendKey Technologies, Inc.",18,"Physician, Hospital","MED",6403,"New York",200002892,2018-02-15,"Security Breach Letter","DISC"
"UNC Health Care",18,"Physician, Hospital","MED",1,"North Carolina",200002893,2018-02-15,"Security Breach Letter","DISC"
"Palo Alto Unified School District",15,"Employer","EDU",353,"California",200002898,2018-02-14,"Security Breach Letter","PHYS"
"Hamilton Acquisition Corp. t/a Stallings Group",15,"Employer","BSR",7,"Virginia",200002901,2018-02-14,"Security Breach Letter","DISC"
"Management Services, LLC",15,"Employer","BSR",53,"Virginia",200002902,2018-02-14,"Security Breach Letter","DISC"
"Flexible Benefit Service Corporation",17,"Payer (Insurer)","BSF",19438,"Illinois",200002899,2018-02-14,"Security Breach Letter","HACK"
"Advanced Technology International, Inc.",17,"Payer (Insurer)","BSR",67,"South Carolina",200002900,2018-02-14,"Security Breach Letter","DISC"
"AHM, Inc. on behalf of the Staybridge Suites Lexington & Holiday Inn Express New Buffalo",17,"Payer (Insurer)","BSR",244,"Michigan",200002903,2018-02-14,"Security Breach Letter","HACK"
"Engle Martin & Associates",18,"Physician, Hospital","BSF",2508,"Georgia",200002897,2018-02-14,"Security Breach Letter","HACK"
"Thomas Edison State University",29,"Researcher","EDU",557,"New Jersey",200002904,2018-02-14,"Security Breach Letter","HACK"
"Central Islip Union Free School District",52,"Education","EDU",1362,"New York",200002907,2018-02-13,"Security Breach Letter","DISC"
"Perry & Associates CPA's A.C.",15,"Employer","BSR",2450,"Ohio",200002909,2018-02-13,"Security Breach Letter","HACK"
"Principal Life Insurance Company",6,"Life Insurance Company","BSF",1,"Iowa",200002910,2018-02-13,"Security Breach Letter","DISC"
"Medical Science & Computing, LLC",17,"Payer (Insurer)","BSR",137,"Maryland",200002905,2018-02-13,"Security Breach Letter","DISC"
"Bed Bath & Beyond, Inc.",17,"Payer (Insurer)","BSR",139,"New Jersey",200002906,2018-02-13,"Security Breach Letter","INSD"
"Kingston Residence of Hickory, LLC",17,"Payer (Insurer)","MED",10,"North Carolina",200002908,2018-02-13,"Security Breach Letter","DISC"
"Eastern Shore Rural Health, Inc.",44,"Personal Transport","MED",287,"Virginia",200002911,2018-02-13,"Security Breach Letter","HACK"
"Pension Fund of the Christian Church",18,"Physician, Hospital","NGO",10981,"Indiana",200002844,2018-02-13,"Security Breach Letter","PHYS"
"Community Hospital of Bremen",18,"Physician, Hospital","MED",115,"Indiana",200002849,2018-02-13,"Security Breach Letter","DISC"
"Mindlance, Inc.",18,"Physician, Hospital","BSO",3085,"New Jersey",200002851,2018-02-13,"Security Breach Letter","HACK"
"Goldman Sachs & Co. LLC",15,"Employer","BSF",32,"New York",200002912,2018-02-12,"Security Breach Letter","HACK"
"Kinetics Systems, Inc.",15,"Employer","BSR",875,"California",200002918,2018-02-09,"Security Breach Letter","HACK"
"Connecticut Airport Authority",50,"Law & Justice","GOV",144,"Connecticut",200002915,2018-02-09,"Security Breach Letter","HACK"
"OneMain Financial",6,"Life Insurance Company","BSF",1253,"Maryland",200002896,2018-02-09,"Security Breach Letter","HACK"
"Inspire Homes Loans, Inc.",6,"Life Insurance Company","BSF",2414,"California",200002913,2018-02-09,"Security Breach Letter","HACK"
